LocationID,OrganisationCode,LocationNameEN,VenueTypeEN,AddressEN,Latitude,Longitude,SSID,NumberOfHotspots,MoreInformationEN,MoreInformationLinkEN,InWifiMap
0003,hkied,The Education University of Hong Kong,University & Tertiary Institutes,"Ground Floor, Block D, The Education University of Hong Kong (Tai Po Campus), 10 Lo Ping Road",22.4692,114.1953,Wi-Fi.HK via EdUHK,13,,,False
1003,hanglung,Gala Place,Stores/Shopping Malls,"BF-2F, Gala Place, 56 Dundas Street, Mongkok",22.315223,114.171124,Wi-Fi.HK via Gala Place,22,,,False
1006,hanglung,Fashion Walk 9 Kingston,Stores/Shopping Malls,"BF-1F, 9 Kingston Street, Fashion Walk, Causeway Bay",22.281992,114.185971,Wi-Fi.HK via FashionWalk,47,,,False
10134,PCCW,Circle K,Convenience Stores,"Shop No. LG09 on the Lower Ground Floor, The Laguna Mall, 8 Laguna Verde Avenue, Hung Hom, Kowloon",22.3092124373,114.191470742,Wi-Fi.HK via CSL,1,,,False
10602,PCCW,Circle K,Convenience Stores,"Shop B2-C G/F Luen Wai Apartments,No 136, 136A, 138, 140-142 Belchers Street,No 7-7A Davis Street, HK",22.2823097732,114.127088338,Wi-Fi.HK via CSL,1,,,False
11175,PCCW,VanGo,Convenience Stores,FT 202 LG2/F COMM CTR SHEK YAM EST KWAI CHUNG NEW TERRITORIES,22.3714480102,114.138438105,Wi-Fi.HK via CSL,1,,,False
11266,PCCW,Discovery Bay Club,Entertainment & Leisure,1/F - Outside of Restaurant Sundeck,22.2931677514,114.023993611,Wi-Fi.HK via CSL,1,,,False
11601,PCCW,VanGo,Convenience Stores,FT 5 G/F CAUSEWAY CTR 28 HARBOUR ROAD       WAN CHAI HONG KONG,22.2806381901,114.176304191,Wi-Fi.HK via CSL,1,,,False
11894,PCCW,Circle K,Convenience Stores,FT 13A&E G/F FU SHING BLDG SAI CHING STREET           YUEN LONG NEW TERRITORIES,22.4423898061,114.027869403,Wi-Fi.HK via CSL,1,,,False
11926,PCCW,Circle K,Convenience Stores,FT P8 LUK YEUNG GALLERIA  LUK YEUNG SUN CHUEN       TSUEN WAN NEW TERRITORIES,22.3728270695,114.119874536,Wi-Fi.HK via CSL,1,,,False
133607,PCCW,Mong Kok Stadium,"Sports, Cultural & Recreational Venues","37 Flower Market Road, Mong Kok, Kowloon",22.325663,114.173004,Wi-Fi.HK via CSL,6,Hotspot Location in Venue,https://theme.gov.hk/en/theme/wifi/images/coverage/133607_Mong Kok Stadium_Hotspot_Diagram.pdf,False
133774,PCCW,Hong Kong Coliseum,"Sports, Cultural & Recreational Venues","9 Cheong Wan Road,  Hung Hom",22.301652,114.182064,Wi-Fi.HK via CSL,13,Hotspot Location in Venue,https://theme.gov.hk/en/theme/wifi/images/coverage/Hong Kong Coliseum_hotspot_diagram.pdf,False
134193,PCCW,Lo Wu Control Point,Transportation/Boundary & Related Facilities,"Lo Wu Control Point, Lo Wu Station Road, Lo Wu",22.529473,114.113475,Wi-Fi.HK via CSL,19,Hotspot Location in Venue,https://theme.gov.hk/en/theme/wifi/images/coverage/Lo Wu Control Point_Hospot_Diagram.pdf,False
15766327,hkt,PENTECOSTAL SCHOOL,Schools & Learning/Study Centres,"14 Perth Street, Ho Man Tin, KLN",22.321087,114.181183,Wi-Fi.HK via HKT,49,,,False
15770608,hkt,The IMC SKH Tin Shui Wai Ling Oi Primary School,Schools & Learning/Study Centres,"82 Tin Shui Road, Tin Shui Wai",22.467902,114.00102,Wi-Fi.HK via HKT,5,,,False
15880423,hkt,CCC Kei Yuen College,Schools & Learning/Study Centres,Fung Yau Street East,22.441946,114.035281,Wi-Fi.HK via HKT,2,,,False
16017651,hkt,Ma Tau Chung Government Primary School,Schools & Learning/Study Centres,1 Fuk Cheung Street,22.32462,114.186689,Wi-Fi.HK via HKT,2,,,False
1714,PCCW,Circle K,Convenience Stores,"Shop 22, G/F., Chevalier Garden Shopping Ctr, Ma On Shan, Shatin, N.T.",22.4049433789,114.223152995,Wi-Fi.HK via CSL,1,,,False
1716,PCCW,Circle K,Convenience Stores,"Shop 1, Carpark Bldg., Ko Chun Court, Yau Tong, Kln.",22.2979114925,114.242325425,Wi-Fi.HK via CSL,1,,,False
1719,PCCW,Circle K,Convenience Stores,"Shop 1, On Yam Shopping Ctr, On Yam Est, Kwai Chung, N.T.",22.3707435933,114.141694307,Wi-Fi.HK via CSL,1,,,False
1722,PCCW,Circle K,Convenience Stores,"7/F., Centre A, Asia Terminals Centre, Berth 3, Kwai Chung Container Terminal, Kwai Chung",22.34236584,114.1229462,Wi-Fi.HK via CSL,1,,,False
1726,PCCW,Circle K,Convenience Stores,"Shop 2B-03, Level 3, Waldorf Avenue, No.1 Tuen Lee Street, Tuen Mun",22.39198784,113.97794167,Wi-Fi.HK via CSL,1,,,False
1733,PCCW,Circle K,Convenience Stores,"Shop 12 G/F., Yung Shing Shopping Centre, Yung Shing Court, Fanling N.T.",22.4829439186,114.139001369,Wi-Fi.HK via CSL,1,,,False
1739,PCCW,Circle K,Convenience Stores,"Shop 6, King Lam Shopping Ctr., King Lam Est., Tseung Kwan O, Kln.",22.3207308167,114.261444211,Wi-Fi.HK via CSL,1,,,False
1741,PCCW,Circle K,Convenience Stores,"Shop 1, G/F., Lei Yue Mun Plaza, Yau Tong Estate, Kowloon",22.2968642352,114.23936963,Wi-Fi.HK via CSL,1,,,False
1743,PCCW,Circle K,Convenience Stores,"Shop 7 & 8, Town Ctr, Wah Fu Est, H.K.",22.2503253375,114.136973619,Wi-Fi.HK via CSL,1,,,False
1753,PCCW,Circle K,Convenience Stores,"Portion of Workshop B, G/F., On Shing Industrial Building, Nos.2-16 Wo Liu Hang Road, Fo Tan, Shatin",22.397196463,114.196942448,Wi-Fi.HK via CSL,1,,,False
1759,PCCW,Circle K,Convenience Stores,"Shop E G/F., & C/L., Nos.42-44 Kweilin Street, Sham Shui Po, Kowloon",22.3284571761,114.159343242,Wi-Fi.HK via CSL,1,,,False
1767,PCCW,Circle K,Convenience Stores,"Shop 3C, G/F., Fu Shun Hse, Fu Shan Est, Kln.",22.342653308,114.209173321,Wi-Fi.HK via CSL,1,,,False
1779,PCCW,Circle K,Convenience Stores,"Shop No.6, G/F., Po Tin Shopping Centre, Tuen Mun",22.4094613872,113.966626524,Wi-Fi.HK via CSL,1,,,False
1783,PCCW,Circle K,Convenience Stores,"Shop No.18 G/F., Island Resort Mall, 28 Siu Sai Wan Road, Siu Sai Wan, Hong Kong",22.2666591512,114.250280857,Wi-Fi.HK via CSL,1,,,False
1785,PCCW,Circle K,Convenience Stores,"Shops 109 & 110 Tin Yan Shopping Centre, Tin Shui Wai, N.T.",22.46261,113.99671,Wi-Fi.HK via CSL,1,,,False
1790,PCCW,Circle K,Convenience Stores,"Shop 102, Comm. Ctr, Kin Sang Est, Tuen Mun, N.T.",22.4070461804,113.969544768,Wi-Fi.HK via CSL,1,,,False
1792,PCCW,Circle K,Convenience Stores,"Shop 1, Wan Tau Tong Square, Tai Po, N.T.",22.4422088339,114.166907072,Wi-Fi.HK via CSL,1,,,False
1801,PCCW,Circle K,Convenience Stores,"Shop No.23 G/F.,Sai Kung Building, Lot No.985 in DD215 Sai Kung",22.3823511346,114.272409081,Wi-Fi.HK via CSL,1,,,False
1803,PCCW,Circle K,Convenience Stores,"Shop 209-210, Wo Hing Hse, Hing Wah Est (II), Chai Wan, H.K.",22.2629159471,114.233184456,Wi-Fi.HK via CSL,1,,,False
1806,PCCW,Circle K,Convenience Stores,"Shop no. 1, G/F., Yuk Ping Hse, Long Ping Estate, Y.L. N.T.",22.4511084171,114.023532271,Wi-Fi.HK via CSL,1,,,False
1808,PCCW,Circle K,Convenience Stores,"Shop no. 19, Ming Tak Shopping Ctr, Ming Tak Est, Tseung Kwan O, Kln.",22.3167607803,114.268675446,Wi-Fi.HK via CSL,1,,,False
1812,PCCW,Circle K,Convenience Stores,"Shop 1 G/F., Carpark Building, Ying Fuk Court, Kowloon",22.3465084917,114.19563353,Wi-Fi.HK via CSL,1,,,True
1823,PCCW,Circle K,Convenience Stores,"Shop 1 Carpark Building, Sau Mau Ping Estate Phase 15, Kwun Tong",22.3219168431,114.230496883,Wi-Fi.HK via CSL,1,,,False
1825,PCCW,Circle K,Convenience Stores,"G/F & Cockloft, 34-35 Praya St., Cheung Chau",22.205653307,114.028247594,Wi-Fi.HK via CSL,1,,,False
1826,PCCW,Circle K,Convenience Stores,"Shop 301 & 302, Choi Wah Hse, Choi Yuen Est, Sheung Shui, N.T.",22.4999343984,114.126421809,Wi-Fi.HK via CSL,1,,,False
1829,PCCW,Circle K,Convenience Stores,"Shop No.4 G/F., Cheong Yuen Apartments, Nos.2,4,6,8 & 8A Tsat Tsz Mui Road, North Point, H.K.",22.2905383367,114.200799465,Wi-Fi.HK via CSL,1,,,False
1840,PCCW,Circle K,Convenience Stores,"Shop Nos.16-17 G/F., Oceania Heights, No.2 Hoi Chu Road, Tuen Mun, N.T.",22.3838937734,113.971400856,Wi-Fi.HK via CSL,1,,,False
1846,PCCW,Circle K,Convenience Stores,"Shop no. 6, G/F., Chau Kwai House, Kwai Chung Estate Phase 1, N.T.",22.3672561814,114.130305647,Wi-Fi.HK via CSL,1,,,False
1851,PCCW,Circle K,Convenience Stores,"Shop Nos. A, B & C G/F., Pier 3, 11 Man Kwong Street, Central, HK",22.2879920135,114.157575666,Wi-Fi.HK via CSL,1,,,False
1869,PCCW,Circle K,Convenience Stores,KIOSK TIH 2 at Tin Hau MTR Station,22.28239,114.19173,Wi-Fi.HK via CSL,1,,,False
